dataset,case,node,end_ts,ground_truth_leak,predicted,status,priority_score,details
battledim_positive,p31_on_n1,n1,2018-07-02 01:35:00,True,YES,SUCCESS,30,"Intermittent/Fluctuating Burst: cumulative excess volume exceeded 2.000 m3 within 6-hour windows on 15 separate days (peak 21.869 m3), even though usage didn't stay anomalous for 4 strictly consecutiv"
battledim_positive,p183_on_n347,n347,2018-08-10 02:35:00,True,NO,SUCCESS,0,Normal consumer operational patterns detected. | Recent evaluation window overlaps known high-variance period(s): Summer School Holidays 2018. Elevated readings may reflect normal seasonal/holiday dem
battledim_positive,p369_on_n1,n1,2018-10-29 02:05:00,True,YES,SUCCESS,30,"Intermittent/Fluctuating Burst: cumulative excess volume exceeded 2.000 m3 within 6-hour windows on 8 separate days (peak 9.218 m3), even though usage didn't stay anomalous for 4 strictly consecutive "
battledim_positive,p538_on_n25,n25,2018-05-21 08:35:00,True,YES,SUCCESS,65,"Intermittent Slow Leak: elevated minimum night flow on 20 of the last 28 nights (threshold: 0.090 m3), even though not every night was elevated (method: fixed_category_hours). | Sudden Pipe Burst: Sus"
battledim_positive,p628_on_n25,n25,2018-05-05 18:50:00,True,YES,SUCCESS,65,"Intermittent Slow Leak: elevated minimum night flow on 20 of the last 28 nights (threshold: 0.090 m3), even though not every night was elevated (method: fixed_category_hours). | Sudden Pipe Burst: Sus"
battledim_positive,p810_on_n347,n347,2018-08-02 18:40:00,True,NO,SUCCESS,0,Normal consumer operational patterns detected. | Recent evaluation window overlaps known high-variance period(s): Summer School Holidays 2018. Elevated readings may reflect normal seasonal/holiday dem
battledim_positive,p866_on_n25,n25,2018-06-04 09:05:00,True,YES,SUCCESS,65,"Intermittent Slow Leak: elevated minimum night flow on 20 of the last 28 nights (threshold: 0.090 m3), even though not every night was elevated (method: fixed_category_hours). | Sudden Pipe Burst: Sus"
battledim_negative,n357_point_2,n357,2018-05-01 06:00:00,False,NO,SUCCESS,0,Normal consumer operational patterns detected.
battledim_negative,n357_point_3,n357,2018-07-01 12:00:00,False,NO,SUCCESS,0,Normal consumer operational patterns detected. | Recent evaluation window overlaps known high-variance period(s): Summer School Holidays 2018. Elevated readings may reflect normal seasonal/holiday dem
battledim_negative,n357_point_4,n357,2018-08-31 18:00:00,False,NO,SUCCESS,0,Normal consumer operational patterns detected. | Recent evaluation window overlaps known high-variance period(s): Summer School Holidays 2018. Elevated readings may reflect normal seasonal/holiday dem
battledim_negative,n357_point_5,n357,2018-11-01 00:00:00,False,NO,SUCCESS,0,"Normal consumer operational patterns detected. | Historical baseline window overlaps known high-variance period(s): Summer School Holidays 2018. The 'normal' baseline itself may be skewed, which can a"
battledim_negative,n387_point_2,n387,2018-05-01 06:00:00,False,NO,SUCCESS,0,Normal consumer operational patterns detected.
battledim_negative,n387_point_3,n387,2018-07-01 12:00:00,False,NO,SUCCESS,0,Normal consumer operational patterns detected. | Recent evaluation window overlaps known high-variance period(s): Summer School Holidays 2018. Elevated readings may reflect normal seasonal/holiday dem
battledim_negative,n387_point_4,n387,2018-08-31 18:00:00,False,NO,SUCCESS,0,Normal consumer operational patterns detected. | Recent evaluation window overlaps known high-variance period(s): Summer School Holidays 2018. Elevated readings may reflect normal seasonal/holiday dem
battledim_negative,n387_point_5,n387,2018-11-01 00:00:00,False,NO,SUCCESS,0,"Normal consumer operational patterns detected. | Historical baseline window overlaps known high-variance period(s): Summer School Holidays 2018. The 'normal' baseline itself may be skewed, which can a"
battledim_negative,n369_point_2,n369,2018-05-01 06:00:00,False,NO,SUCCESS,0,Normal consumer operational patterns detected.
battledim_negative,n369_point_3,n369,2018-07-01 12:00:00,False,NO,SUCCESS,0,Normal consumer operational patterns detected. | Recent evaluation window overlaps known high-variance period(s): Summer School Holidays 2018. Elevated readings may reflect normal seasonal/holiday dem
battledim_negative,n369_point_4,n369,2018-08-31 18:00:00,False,NO,SUCCESS,0,Normal consumer operational patterns detected. | Recent evaluation window overlaps known high-variance period(s): Summer School Holidays 2018. Elevated readings may reflect normal seasonal/holiday dem
battledim_negative,n369_point_5,n369,2018-11-01 00:00:00,False,NO,SUCCESS,0,"Normal consumer operational patterns detected. | Historical baseline window overlaps known high-variance period(s): Summer School Holidays 2018. The 'normal' baseline itself may be skewed, which can a"
battledim_negative,n41_point_2,n41,2018-05-01 06:00:00,False,NO,SUCCESS,0,Normal consumer operational patterns detected.
battledim_negative,n41_point_3,n41,2018-07-01 12:00:00,False,NO,SUCCESS,0,Normal consumer operational patterns detected. | Recent evaluation window overlaps known high-variance period(s): Summer School Holidays 2018. Elevated readings may reflect normal seasonal/holiday dem
battledim_negative,n41_point_4,n41,2018-08-31 18:00:00,False,NO,SUCCESS,0,Normal consumer operational patterns detected. | Recent evaluation window overlaps known high-variance period(s): Summer School Holidays 2018. Elevated readings may reflect normal seasonal/holiday dem
battledim_negative,n41_point_5,n41,2018-11-01 00:00:00,False,NO,SUCCESS,0,"Normal consumer operational patterns detected. | Historical baseline window overlaps known high-variance period(s): Summer School Holidays 2018. The 'normal' baseline itself may be skewed, which can a"
battledim_negative,n42_point_2,n42,2018-05-01 06:00:00,False,NO,SUCCESS,0,Normal consumer operational patterns detected.
