dataset,case,end_ts,ground_truth_attack,baseline_days_available,predicted,status,priority_score,details
dataset04,episode_1_end+3d,2016-09-19 00:00:00,True,49,YES,SUCCESS,35,"Slow Constant Leak: Night minimum floor structurally rose from 0.000 to 69.150 m3 (threshold drift: 0.180 m3, method: fixed_category_hours). | Recent evaluation window overlaps known high-variance per"
dataset04,episode_2_end+3d,2016-09-30 10:00:00,True,60,NO,SUCCESS,0,"Normal consumer operational patterns detected. | Fixed category night hours showed no real trough; used this customer's own lowest-usage hours [11, 12, 13] instead (adaptive trough ratio 0%). | Histor"
dataset04,episode_3_end+3d,2016-10-14 20:00:00,True,74,NO,SUCCESS,0,"Normal consumer operational patterns detected. | Fixed category night hours showed no real trough; used this customer's own lowest-usage hours [12, 13, 14] instead (adaptive trough ratio 0%). | Histor"
dataset04,episode_4_end+3d,2016-11-05 16:00:00,True,96,NO,SUCCESS,0,"Normal consumer operational patterns detected. | Fixed category night hours showed no real trough; used this customer's own lowest-usage hours [11, 12, 13] instead (adaptive trough ratio 0%). | Histor"
dataset04,episode_5_end+3d,2016-12-02 04:00:00,True,123,NO,SUCCESS,0,"Normal consumer operational patterns detected. | Fixed category night hours showed no real trough; used this customer's own lowest-usage hours [10, 12, 13] instead (adaptive trough ratio 0%). | Recent"
dataset04,episode_6_end+3d,2016-12-13 04:00:00,True,134,NO,SUCCESS,0,"Normal consumer operational patterns detected. | Fixed category night hours showed no real trough; used this customer's own lowest-usage hours [10, 12, 13] instead (adaptive trough ratio 0%). | Recent"
dataset04,episode_7_end+3d,2016-12-22 04:00:00,True,143,NO,SUCCESS,0,"Normal consumer operational patterns detected. | Fixed category night hours showed no real trough; used this customer's own lowest-usage hours [10, 12, 13] instead (adaptive trough ratio 0%). | Recent"
dataset04,interim_point_1,2016-09-08 00:00:00,False,38,YES,SUCCESS,35,"Slow Constant Leak: Night minimum floor structurally rose from 0.000 to 69.150 m3 (threshold drift: 0.180 m3, method: fixed_category_hours). | Recent evaluation window overlaps known high-variance per"
dataset04,interim_point_2,2016-10-04 00:00:00,True,64,NO,SUCCESS,0,"Normal consumer operational patterns detected. | Fixed category night hours showed no real trough; used this customer's own lowest-usage hours [11, 12, 13] instead (adaptive trough ratio 0%). | Histor"
dataset04,interim_point_3,2016-11-19 00:00:00,True,110,NO,SUCCESS,0,"Normal consumer operational patterns detected. | Fixed category night hours showed no real trough; used this customer's own lowest-usage hours [10, 12, 13] instead (adaptive trough ratio 0%). | Histor"
dataset03,clean_point_1,2014-05-01 00:00:00,False,87,NO,SUCCESS,0,"Normal consumer operational patterns detected. | Fixed category night hours showed no real trough; used this customer's own lowest-usage hours [9, 10, 13] instead (adaptive trough ratio 0%)."
dataset03,clean_point_2,2014-06-04 00:00:00,False,121,NO,SUCCESS,0,"Normal consumer operational patterns detected. | Fixed category night hours showed no real trough; used this customer's own lowest-usage hours [10, 12, 13] instead (adaptive trough ratio 0%)."
dataset03,clean_point_3,2014-07-08 00:00:00,False,155,NO,SUCCESS,0,"Normal consumer operational patterns detected. | Fixed category night hours showed no real trough; used this customer's own lowest-usage hours [11, 12, 13] instead (adaptive trough ratio 0%). | Recent"
dataset03,clean_point_4,2014-08-11 00:00:00,False,189,NO,SUCCESS,0,"Normal consumer operational patterns detected. | Fixed category night hours showed no real trough; used this customer's own lowest-usage hours [10, 12, 13] instead (adaptive trough ratio 0%). | Recent"
dataset03,clean_point_5,2014-09-14 00:00:00,False,223,NO,SUCCESS,0,"Normal consumer operational patterns detected. | Fixed category night hours showed no real trough; used this customer's own lowest-usage hours [10, 12, 13] instead (adaptive trough ratio 0%). | Recent"
dataset03,clean_point_6,2014-10-18 00:00:00,False,257,NO,SUCCESS,0,"Normal consumer operational patterns detected. | Fixed category night hours showed no real trough; used this customer's own lowest-usage hours [11, 12, 13] instead (adaptive trough ratio 0%). | Histor"
dataset03,clean_point_7,2014-11-21 00:00:00,False,291,NO,SUCCESS,0,"Normal consumer operational patterns detected. | Fixed category night hours showed no real trough; used this customer's own lowest-usage hours [11, 12, 13] instead (adaptive trough ratio 0%). | Histor"
dataset03,clean_point_8,2014-12-25 00:00:00,False,325,NO,SUCCESS,0,"Normal consumer operational patterns detected. | Fixed category night hours showed no real trough; used this customer's own lowest-usage hours [10, 12, 13] instead (adaptive trough ratio 0%). | Recent"
